1 KEY_ZL 0;0 0;0
2 NONE 0;0 0;0
3 NONE 0;0 0;0
4 NONE 0;0 0;0
5 NONE 0;0 0;0
6 KEY_ZL 0;0 0;0
217 NONE -28377;-16383 0;0
218 NONE 28377;-16383 0;0
219 NONE 0;32000 0;0
220 NONE -28377;-16383 0;0
221 NONE 28377;-16383 0;0
222 NONE 0;32000 0;0
223 NONE -28377;-16383 0;0
224 NONE 28377;-16383 0;0
225 NONE 0;32000 0;0
226 NONE -28377;-16383 0;0
227 NONE 28377;-16383 0;0
228 NONE 0;32000 0;0
229 NONE -28377;-16383 0;0
230 NONE 28377;-16383 0;0
231 NONE 0;32000 0;0
232 NONE -28377;-16383 0;0
233 NONE 28377;-16383 0;0
234 NONE 0;32000 0;0
235 NONE -28377;-16383 0;0
236 NONE 28377;-16383 0;0
237 NONE 0;32000 0;0
238 NONE -28377;-16383 0;0
239 NONE 28377;-16383 0;0
240 NONE 0;32000 0;0
241 NONE -28377;-16383 0;0
242 NONE 28377;-16383 0;0
243 NONE 0;32000 0;0
244 NONE -28377;-16383 0;0
245 NONE 28377;-16383 0;0
246 NONE 0;32000 0;0
247 NONE -28377;-16383 0;0
248 NONE 28377;-16383 0;0
249 NONE 0;32000 0;0
250 NONE -28377;-16383 0;0
251 NONE 28377;-16383 0;0
252 KEY_B 0;0 0;0
253 KEY_ZL -15000;-29132 0;0
254 KEY_ZL -15000;-29132 0;0
255 KEY_ZL -15000;-29132 0;0
256 KEY_ZL -15000;-29132 0;0
257 KEY_ZL -15000;-29132 0;0
258 KEY_ZL -15000;-29132 0;0
259 KEY_ZL -15000;-29132 0;0
260 KEY_Y;KEY_ZL -15000;-29132 0;0
261 NONE -15000;-29132 0;0
262 NONE -15000;-29132 0;0
263 NONE -15000;-29132 0;0
264 NONE -15000;-29132 0;0
265 NONE -15000;-29132 0;0
266 NONE -15000;-29132 0;0
267 NONE -15000;-29132 0;0
268 NONE -15000;-29132 0;0
269 NONE -15000;-29132 0;0
270 NONE -15000;-29132 0;0
271 NONE 0;0 0;0
272 NONE 0;0 0;0
273 NONE 0;0 0;0
274 NONE 0;0 0;0
275 NONE 0;0 0;0
276 NONE 0;0 0;0
277 NONE 0;0 0;0
278 NONE 0;0 0;0
279 NONE 0;0 0;0
280 NONE 0;0 0;0
281 NONE 0;0 0;0
282 NONE 0;0 0;0
283 NONE 0;0 0;0
284 NONE 0;0 0;0
285 NONE 0;0 0;0
286 NONE 0;0 0;0
287 NONE 0;0 0;0
288 NONE 0;0 0;0
289 NONE 0;0 0;0
290 NONE 0;0 0;0
291 NONE 0;0 0;0
292 NONE 0;0 0;0
293 NONE 0;0 0;0
294 NONE 0;0 0;0
295 NONE 0;0 0;0
296 NONE 0;0 0;0
297 NONE 0;0 0;0
298 NONE 0;0 0;0
299 NONE 0;0 0;0
300 NONE 0;0 0;0
301 NONE 0;0 0;0
302 NONE 0;0 0;0
303 NONE 0;0 0;0
304 NONE 0;0 0;0
305 NONE 0;0 0;0
306 NONE 0;0 0;0
307 NONE 0;0 0;0
308 NONE 0;0 0;0
309 NONE 0;0 0;0
310 NONE 0;0 0;0
311 NONE 0;0 0;0
312 NONE 0;0 0;0
313 NONE 0;0 0;0
314 NONE 0;0 0;0
315 NONE 0;0 0;0
316 NONE 0;0 0;0
317 NONE 0;0 0;0
318 NONE 0;0 0;0
319 NONE 0;0 0;0
320 NONE 0;0 0;0
321 NONE 0;0 0;0
322 NONE 0;0 0;0
323 NONE 0;0 0;0
324 NONE 0;0 0;0
325 NONE 0;0 0;0
326 NONE 0;0 0;0
327 NONE 0;0 0;0
328 NONE 0;0 0;0
329 NONE 0;0 0;0
330 NONE 0;0 0;0
331 NONE 0;0 0;0
332 NONE 0;0 0;0
333 NONE 0;0 0;0
334 NONE 0;0 0;0
335 NONE 0;0 0;0
336 NONE 0;0 0;0
337 NONE 0;0 0;0
338 NONE 0;0 0;0
339 NONE 0;0 0;0
340 NONE 0;0 0;0
341 NONE 0;0 0;0
342 NONE 0;0 0;0
343 NONE 0;0 0;0
344 NONE 0;0 0;0
345 NONE 0;0 0;0
346 NONE 0;0 0;0
347 NONE 0;0 0;0
348 NONE 0;0 0;0
349 NONE 0;0 0;0
350 NONE 0;0 0;0
351 NONE 0;0 0;0
352 NONE 0;0 0;0
353 NONE 0;0 0;0
354 NONE 0;0 0;0
355 NONE 0;0 0;0
356 NONE 0;0 0;0
357 NONE 0;0 0;0
358 NONE 0;0 0;0
359 NONE 0;0 0;0
360 NONE 0;0 0;0
361 NONE 0;0 0;0
362 NONE 0;0 0;0
363 NONE 0;0 0;0
364 NONE 0;0 0;0
365 NONE 0;0 0;0
366 NONE 0;0 0;0
367 NONE 0;0 0;0
368 NONE 0;0 0;0
369 NONE 0;0 0;0
370 NONE 0;0 0;0
371 NONE 0;0 0;0
372 NONE 0;0 0;0
373 NONE 0;0 0;0
374 NONE 0;0 0;0
375 NONE 0;0 0;0
376 NONE 0;0 0;0
377 NONE 0;0 0;0
378 NONE 0;0 0;0
379 NONE 0;0 0;0
380 NONE 0;0 0;0
381 NONE 0;0 0;0
382 NONE 0;0 0;0
383 NONE 0;0 0;0
384 NONE 0;0 0;0
385 NONE 0;0 0;0
386 NONE 0;0 0;0
387 NONE 0;0 0;0
388 NONE 0;0 0;0
389 NONE 0;0 0;0
390 NONE 0;0 0;0
391 KEY_Y 0;0 0;0
392 NONE -23000;23000 0;0
393 NONE -23000;23000 0;0
394 NONE -23000;23000 0;0
395 NONE -23000;23000 0;0
396 NONE -23000;23000 0;0
397 NONE -23000;23000 0;0
398 NONE -23000;23000 0;0
399 NONE -23000;23000 0;0
400 NONE -23000;23000 0;0
401 KEY_ZL 0;0 0;0
402 KEY_Y 0;0 0;0
403 NONE 0;0 0;0
404 NONE 0;0 0;0
405 NONE 0;0 0;0
406 NONE 0;0 0;0
407 NONE 0;0 0;0
408 NONE 0;0 0;0
409 NONE 0;0 0;0
410 NONE 0;0 0;0
411 NONE 0;0 0;0
412 NONE 0;0 0;0
413 NONE 0;0 0;0
414 NONE 0;0 0;0
415 NONE 0;0 0;0
416 NONE 0;0 0;0
417 NONE 0;0 0;0
418 NONE 0;0 0;0
419 NONE 0;0 0;0
420 NONE 0;0 0;0
421 NONE 0;0 0;0
422 NONE 0;0 0;0
423 NONE 0;0 0;0
424 NONE 0;0 0;0
425 NONE 0;0 0;0
426 NONE 0;0 0;0
427 NONE 0;0 0;0
428 NONE 0;0 0;0
429 NONE 0;0 0;0
430 NONE 0;0 0;0
431 NONE 0;0 0;0
432 NONE 0;32000 0;0
433 NONE -28377;-16383 0;0
434 NONE 28377;-16383 0;0
435 NONE 0;32000 0;0
436 NONE -28377;-16383 0;0
437 NONE 28377;-16383 0;0
438 NONE 0;32000 0;0
439 NONE -28377;-16383 0;0
440 NONE 28377;-16383 0;0
441 NONE 0;32000 0;0
442 NONE -28377;-16383 0;0
443 NONE 28377;-16383 0;0
444 NONE 0;32000 0;0
445 NONE -28377;-16383 0;0
446 NONE 28377;-16383 0;0
447 NONE 0;32000 0;0
448 NONE -28377;-16383 0;0
449 NONE 28377;-16383 0;0
450 NONE 0;32000 0;0
451 NONE -28377;-16383 0;0
452 NONE 28377;-16383 0;0
453 KEY_B 0;0 0;0
454 KEY_ZL -32000;0 0;0
455 KEY_ZL -32000;0 0;0
456 KEY_ZL -32000;0 0;0
457 KEY_ZL -32000;0 0;0
458 KEY_ZL -32000;0 0;0
459 KEY_ZL -32000;0 0;0
460 KEY_ZL -32000;0 0;0
461 KEY_Y;KEY_ZL 0;0 0;0
462 NONE 0;32000 0;0
463 NONE -28377;-16383 0;0
464 NONE 28377;-16383 0;0
465 NONE 0;32000 0;0
466 NONE -28377;-16383 0;0
467 NONE 28377;-16383 0;0
468 NONE 0;32000 0;0
469 NONE -28377;-16383 0;0
470 NONE 28377;-16383 0;0
471 NONE 0;32000 0;0
472 NONE -28377;-16383 0;0
473 NONE 28377;-16383 0;0
474 NONE 0;32000 0;0
475 NONE -28377;-16383 0;0
476 NONE 28377;-16383 0;0
477 NONE 0;32000 0;0
478 NONE -28377;-16383 0;0
479 NONE 28377;-16383 0;0
480 NONE 0;32000 0;0
481 NONE -28377;-16383 0;0
482 NONE 28377;-16383 0;0
483 NONE 0;32000 0;0
484 NONE -28377;-16383 0;0
485 NONE 28377;-16383 0;0
486 NONE 0;32000 0;0
487 NONE -28377;-16383 0;0
488 NONE 28377;-16383 0;0
489 NONE 0;32000 0;0
490 NONE -28377;-16383 0;0
491 NONE 28377;-16383 0;0
492 NONE 0;32000 0;0
493 NONE -28377;-16383 0;0
494 NONE 28377;-16383 0;0
495 NONE 0;32000 0;0
496 NONE -28377;-16383 0;0
497 NONE 28377;-16383 0;0
498 NONE 0;32000 0;0
499 NONE -28377;-16383 0;0
500 NONE 28377;-16383 0;0
501 NONE 0;32000 0;0
502 NONE -28377;-16383 0;0
503 NONE 28377;-16383 0;0
504 NONE 0;32000 0;0
505 NONE -28377;-16383 0;0
506 NONE 28377;-16383 0;0
507 NONE 0;32000 0;0
508 NONE -28377;-16383 0;0
509 NONE 28377;-16383 0;0
510 NONE 0;32000 0;0
511 NONE -28377;-16383 0;0
512 NONE 28377;-16383 0;0
513 KEY_B 0;0 0;0
514 KEY_ZL 6900;32032 0;0
515 KEY_ZL 6900;32032 0;0
516 KEY_ZL 6900;32032 0;0
517 KEY_ZL 6900;32032 0;0
518 KEY_ZL 6900;32032 0;0
519 KEY_ZL 6900;32032 0;0
520 KEY_ZL 6900;32032 0;0
521 KEY_Y;KEY_ZL 6900;32032 0;0
522 NONE 6900;32032 0;0
523 NONE 6900;32032 0;0
524 NONE 6900;32032 0;0
525 NONE 6900;32032 0;0
526 NONE 6900;32032 0;0
527 NONE 6900;32032 0;0
528 NONE 6900;32032 0;0
529 NONE 6900;32032 0;0
530 NONE 6900;32032 0;0
531 NONE 6900;32032 0;0
532 NONE 6900;32032 0;0
533 NONE 6900;32032 0;0
534 NONE 6900;32032 0;0
535 NONE 6900;32032 0;0
536 NONE 6900;32032 0;0
537 NONE 6900;32032 0;0
538 NONE 6900;32032 0;0
539 NONE 6900;32032 0;0
540 NONE 6900;32032 0;0
541 NONE 6900;32032 0;0
542 NONE 6900;32032 0;0
543 NONE 6900;32032 0;0
544 NONE 6900;32032 0;0
545 NONE 6900;32032 0;0
546 NONE 6900;32032 0;0
547 NONE 6900;32032 0;0
548 NONE 6900;32032 0;0
549 NONE 6900;32032 0;0
550 NONE 6900;32032 0;0
551 NONE 6900;32032 0;0
552 NONE 6900;32032 0;0
553 NONE 6900;32032 0;0
554 NONE 6900;32032 0;0
555 NONE 6900;32032 0;0
556 NONE 6900;32032 0;0
557 NONE 6900;32032 0;0
558 NONE 6900;32032 0;0
559 NONE 6900;32032 0;0
560 NONE 6900;32032 0;0
561 NONE 6900;32032 0;0
562 NONE 0;32000 0;0
563 NONE 0;32000 0;0
564 NONE 0;32000 0;0
565 NONE 0;32000 0;0
566 NONE 0;32000 0;0
567 NONE 0;32000 0;0
568 NONE 0;32000 0;0
569 NONE 0;32000 0;0
570 NONE 0;32000 0;0
571 NONE 0;32000 0;0
572 NONE 0;32000 0;0
573 NONE 0;32000 0;0
574 NONE 0;32000 0;0
575 NONE 0;32000 0;0
576 NONE 0;32000 0;0
577 NONE 0;32000 0;0
578 NONE 0;32000 0;0
579 NONE 0;32000 0;0
580 NONE 0;32000 0;0
581 NONE 0;32000 0;0
582 NONE 0;32000 0;0
583 NONE 0;32000 0;0
584 NONE 0;32000 0;0
585 NONE 0;32000 0;0
586 NONE 0;32000 0;0
587 NONE 0;32000 0;0
588 NONE 0;32000 0;0
589 NONE 0;32000 0;0
590 NONE 0;32000 0;0
591 NONE 0;32000 0;0
592 NONE 0;32000 0;0
593 NONE 0;32000 0;0
594 NONE 0;32000 0;0
595 NONE 0;32000 0;0
596 NONE 0;32000 0;0
597 NONE 0;32000 0;0
598 NONE 0;32000 0;0
599 NONE 0;32000 0;0
600 NONE 0;32000 0;0
601 NONE 0;32000 0;0
602 NONE 0;32000 0;0
603 NONE 0;32000 0;0
604 NONE 0;32000 0;0
605 NONE 0;32000 0;0
606 NONE 0;32000 0;0
607 NONE 0;32000 0;0
608 NONE 0;32000 0;0
609 NONE 0;32000 0;0
610 NONE 0;32000 0;0
611 NONE 0;32000 0;0
612 NONE 0;32000 0;0
613 NONE 0;32000 0;0
614 NONE 0;32000 0;0
615 NONE 0;32000 0;0
616 NONE 0;32000 0;0
617 NONE 0;32000 0;0
618 NONE 0;32000 0;0
619 NONE 0;32000 0;0
620 NONE 0;32000 0;0
621 NONE 0;32000 0;0
622 NONE 0;32000 0;0
623 NONE 0;32000 0;0
624 NONE 0;32000 0;0
625 NONE 0;32000 0;0
626 NONE 0;32000 0;0
627 NONE 0;32000 0;0
628 NONE 0;32000 0;0
629 NONE 0;32000 0;0
630 NONE 0;32000 0;0
631 NONE 0;32000 0;0
632 NONE 0;32000 0;0
633 NONE 0;32000 0;0
634 NONE 0;32000 0;0
635 NONE 0;32000 0;0
636 NONE 0;32000 0;0
637 NONE 0;32000 0;0
638 NONE 0;32000 0;0
639 NONE 0;32000 0;0
640 NONE 0;32000 0;0
641 NONE 0;32000 0;0
642 NONE 0;32000 0;0
643 NONE 0;32000 0;0
644 NONE 0;32000 0;0
645 NONE 0;32000 0;0
646 NONE 0;32000 0;0
647 NONE 0;32000 0;0
648 NONE 0;32000 0;0
649 NONE 0;32000 0;0
650 NONE 0;32000 0;0
651 NONE 0;32000 0;0
652 NONE 0;32000 0;0
653 NONE 0;32000 0;0
654 NONE 0;32000 0;0
655 NONE 0;32000 0;0
656 NONE 0;32000 0;0
657 NONE 0;32000 0;0
658 NONE 0;32000 0;0
659 NONE 0;32000 0;0
660 NONE 0;32000 0;0
661 NONE 0;32000 0;0
662 NONE 0;32000 0;0
663 NONE 0;32000 0;0
664 NONE 0;32000 0;0
665 NONE 0;32000 0;0
666 NONE 0;32000 0;0
667 NONE 0;32000 0;0
668 NONE 0;32000 0;0
669 NONE 0;32000 0;0
670 NONE 0;32000 0;0
671 NONE 0;32000 0;0
672 NONE 0;32000 0;0
673 NONE 0;32000 0;0
674 NONE 0;32000 0;0
675 NONE 0;32000 0;0
676 NONE 0;32000 0;0
677 NONE 0;32000 0;0
678 NONE 0;32000 0;0
679 NONE 0;32000 0;0
680 NONE 0;32000 0;0
681 NONE 0;32000 0;0
682 KEY_ZL 0;0 0;0
683 KEY_Y 0;0 0;0
684 NONE 0;32032 0;0
685 NONE 0;32032 0;0
686 NONE 0;32032 0;0
687 NONE 0;32032 0;0
688 NONE 0;32032 0;0
689 NONE 0;32032 0;0
